source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0007268,chemical synaptic transmission,3.898863241857337e-33,True,"""The vesicular release of classical neurotransmitter molecules from a presynapse, across a chemical synapse, the subsequent activation of neurotransmitter receptors at the postsynapse of a target cell (neuron, muscle, or secretory cell) and the effects of this activation on the postsynaptic membrane potential and ionic composition of the postsynaptic cytosol. This process encompasses both spontaneous and evoked release of neurotransmitter and all parts of synaptic vesicle exocytosis. Evoked transmission starts with the arrival of an action potential at the presynapse."" [GOC:jl, MeSH:D009435]",775,189,57,21026,0.30158730158730157,0.07354838709677419,query_1,['GO:0098916']
GO:BP,GO:0099536,synaptic signaling,3.898863241857337e-33,True,"""Cell-cell signaling to, from or within a synapse."" [GOC:dos]",807,189,58,21026,0.30687830687830686,0.07187112763320942,query_1,['GO:0007267']
GO:BP,GO:0098916,anterograde trans-synaptic signaling,3.898863241857337e-33,True,"""Cell-cell signaling from pre to post-synapse, across the synaptic cleft."" [GOC:dos]",775,189,57,21026,0.30158730158730157,0.07354838709677419,query_1,['GO:0099537']
GO:BP,GO:0099537,trans-synaptic signaling,4.440401625379128e-33,True,"""Cell-cell signaling in either direction across the synaptic cleft."" [GOC:dos]",781,189,57,21026,0.30158730158730157,0.07298335467349552,query_1,['GO:0099536']
GO:BP,GO:0007267,cell-cell signaling,3.230469254224981e-25,True,"""Any process that mediates the transfer of information from one cell to another. This process includes signal transduction in the receiving cell and, where applicable, release of a ligand and any processes that actively facilitate its transport and presentation to the receiving cell. Examples include signaling via soluble ligands, via cell adhesion molecules and via gap junctions."" [GOC:dos, GOC:mah]",1342,189,62,21026,0.328042328042328,0.046199701937406856,query_1,"['GO:0007154', 'GO:0023052']"
GO:BP,GO:0042391,regulation of membrane potential,9.518248825016834e-19,True,"""Any process that modulates the establishment or extent of a membrane potential, the electric potential existing across any membrane arising from charges in the membrane itself and from the charges present in the media on either side of the membrane."" [GOC:jl, GOC:mtg_cardio, GOC:tb, ISBN:0198506732]",458,189,34,21026,0.17989417989417988,0.07423580786026202,query_1,['GO:0065008']
GO:BP,GO:0006811,monoatomic ion transport,4.987670889037767e-18,True,"""The directed movement of a monoatomic ion into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Monatomic ions (also called simple ions) are ions consisting of exactly one atom."" [GOC:ai]",1282,189,52,21026,0.2751322751322751,0.0405616224648986,query_1,['GO:0006810']
GO:BP,GO:0007399,nervous system development,1.5540871714936772e-17,True,"""The process whose specific outcome is the progression of nervous tissue over time, from its formation to its mature state."" [GOC:dgh]",2604,189,73,21026,0.3862433862433862,0.02803379416282642,query_1,['GO:0048731']
GO:BP,GO:0098660,inorganic ion transmembrane transport,2.241673155420703e-16,True,"""The process in which an inorganic ion is transported across a membrane."" [GOC:mah]",944,189,43,21026,0.2275132275132275,0.045550847457627115,query_1,['GO:0055085']
GO:BP,GO:0055085,transmembrane transport,2.241673155420703e-16,True,"""The process in which a solute is transported across a lipid bilayer, from one side of a membrane to the other."" [GOC:dph, GOC:jid]",1578,189,55,21026,0.291005291005291,0.03485424588086185,query_1,"['GO:0006810', 'GO:0009987']"
